[1509886888.504087],log level:0,thread name:decision ,decision:is alive
[1509886888.504648],log level:0,thread name:log ,log:is alive
[1509886888.508533],log level:0,thread name:light sensor ,light sensor: Luminosity is 3.032591
[1509886888.509791],log level:0,thread name:light ,light:is alive
[1509886888.513732],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.514062],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.515700],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.516441],log level:0,thread name:temp ,temp:is alive
[1509886888.517270],log level:0,thread name:decision ,decision:is alive
[1509886888.517621],log level:0,thread name:log ,log:is alive
[1509886888.520980],log level:0,thread name:light sensor ,light sensor: Luminosity is 3.032591
[1509886888.522278],log level:0,thread name:light ,light:is alive
[1509886888.526027],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.526779],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.528049],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.528559],log level:0,thread name:temp ,temp:is alive
[1509886888.529386],log level:0,thread name:decision ,decision:is alive
[1509886888.529830],log level:0,thread name:log ,log:is alive
[1509886888.533837],log level:0,thread name:light sensor ,light sensor: Luminosity is 3.032591
[1509886888.534920],log level:0,thread name:light ,light:is alive
[1509886888.538145],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.538898],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.539997],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.540767],log level:0,thread name:temp ,temp:is alive
[1509886888.541194],log level:0,thread name:decision ,decision:is alive
[1509886888.541338],log level:0,thread name:log ,log:is alive
[1509886888.544695],log level:0,thread name:light sensor ,light sensor: Luminosity is 3.032591
[1509886888.545759],log level:0,thread name:light ,light:is alive
[1509886888.549831],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.550827],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.551848],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.552048],log level:0,thread name:temp ,temp:is alive
[1509886888.552883],log level:0,thread name:decision ,decision:is alive
[1509886888.553031],log level:0,thread name:log ,log:is alive
[1509886888.557660],log level:0,thread name:light sensor ,light sensor: Luminosity is 3.032591
[1509886888.558644],log level:0,thread name:light ,light:is alive
[1509886888.562752],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.563294],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.564479],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.564724],log level:0,thread name:temp ,temp:is alive
[1509886888.565563],log level:0,thread name:decision ,decision:is alive
[1509886888.566053],log level:0,thread name:log ,log:is alive
[1509886888.570485],log level:0,thread name:light sensor ,light sensor: Luminosity is 3.032591
[1509886888.571940],log level:0,thread name:light ,light:is alive
[1509886888.576682],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.577198],log level:3,thread name:light thread ,light thread: is responding to the query
